"species","behavior","region","num_hosts","p_host_shared","behavior_reg","Restricted_niche","Occupied_niche","Unexploited_niche","Centroid_shift","Environmental_shift","Niche_dissimilarity","Restricted_spatial","Occupied_spatial","Unexploited_spatial"
"Amphiprion_bicinctus","generalist","Red_Sea_and_Gulf_of_Aden",6,0.75,"generalist",0,1,0.511724960254372,0.0334657074661904,0.0236520679693605,0.044005441215055,0.000385951370127364,0.999614048629873,0.116171617161716
"Amphiprion_frenatus","specialist","Warm_Temperate_Northwest_Pacific",1,0.5,"specialist",0.192782995551162,0.807217004448838,0.304958501808895,0.589429433303454,0.0861408397973964,0.375400546821751,0.0875,0.9125,-Inf
"Amphiprion_polymnus","generalist","Warm_Temperate_Northwest_Pacific",1,0.5,"specialist",0.0811744386873921,0.918825561312608,0.426105717367853,0.320106229771335,0.0241631868629719,0.281779386485975,0.146666666666667,0.853333333333333,-Inf
"Amphiprion_clarkii","generalist","Warm_Temperate_Northwest_Pacific",2,1,"specialist",0.0620563780166295,0.937943621983371,0.0446188803966122,0.670333424439199,0.0118102532698877,0.297522842426553,0.407626561472715,0.592373438527285,-Inf
"Amphiprion_ocellaris","specialist","Warm_Temperate_Northwest_Pacific",0,0,"specialist",1,0,NA,NA,NA,NA,1,0,NA
"Amphiprion_bicinctus","generalist","Somali_Arabian",4,1,"generalist",0,1,0.669369551996757,0.0250222226303995,0.00881519778118385,0.0424973196306004,0,1,0.611799217731421
"Amphiprion_clarkii","generalist","Somali_Arabian",4,1,"generalist",0.0430744912072713,0.956925508792729,0.0182444759781066,0.390062069959724,0.127601207153798,0.203707395843261,0.235723771580345,0.764276228419655,-0.125488917861799
"Amphiprion_omanensis","specialist","Somali_Arabian",1,0.25,"specialist",0.080172679617638,0.919827320382362,0.33593054318789,0.538565297212223,0.0616916522722645,0.350732893516666,0.0656356092040739,0.934364390795926,-24.1923076923077
"Amphiprion_sebae","generalist","Somali_Arabian",4,1,"generalist",0.0121039515841937,0.987896048415806,0.437461990675046,0.420467838538861,0.0173720866055661,0.202455814440282,0.00215982721382289,0.997840172786177,0.244458930899609
"Amphiprion_perideraion","specialist","South_Kuroshio",2,0.2,"specialist",0.0961203483768804,0.90387965162312,0.0443663150845471,0.077353416248741,0.00407537247683486,0.123932318548233,0.486301369863014,0.513698630136986,0.324324324324324
"Amphiprion_frenatus","specialist","South_Kuroshio",1,0.1,"specialist",0.0881771451166469,0.911822854883353,0.0376964807344554,0.31897557121479,0.122316702937182,0.266365362149291,0.0192307692307692,0.980769230769231,-Inf
"Amphiprion_clarkii","generalist","South_Kuroshio",10,1,"generalist",0.0334984358706986,0.966501564129301,0.0236998025016458,0.0387856536466034,0.0158881976694478,0.0716457077064176,0.230263157894737,0.769736842105263,0.198630136986301
"Amphiprion_ocellaris","specialist","South_Kuroshio",2,0.2,"specialist",0.185295713510581,0.814704286489419,0.0353356890459364,0.208968830843333,0.1156295765513,0.177053959255856,0.168918918918919,0.831081081081081,0
"Amphiprion_polymnus","generalist","South_Kuroshio",3,0.3,"generalist",0.00352319436288902,0.996476805637111,0.302029064984919,0.00752358097900825,0.00431609818517086,0.071843553684017,0,1,0.680851063829787
"Amphiprion_sandaracinos","specialist","South_Kuroshio",2,0.2,"specialist",0.270332776564307,0.729667223435693,0.0402230860233226,0.336849878227316,0.107598865043399,0.239200026460221,0.251533742331288,0.748466257668712,-0.0517241379310345
"Amphiprion_clarkii","generalist","Tropical_Northwestern_Pacific",5,1,"generalist",0.00177896375361352,0.998221036246386,0.0753861997940268,0.0851944130311592,0.0071438483521654,0.131957415770587,0.0884353741496599,0.91156462585034,0.0884353741496599
"Amphiprion_chrysopterus","generalist","Tropical_Northwestern_Pacific",3,0.6,"generalist",0,1,0.327692942633099,0.0320998841641278,0.0033648319840745,0.126258204069873,0,1,0.0138888888888888
"Premnas_biaculeatus","specialist","Tropical_Northwestern_Pacific",1,0.2,"specialist",0,1,0.559766763848397,0.131736033520107,0.00540183190414453,0.183220446479747,0.147058823529412,0.852941176470588,-3.64
"Amphiprion_ocellaris","specialist","Tropical_Northwestern_Pacific",1,0.2,"specialist",0.0742718446601942,0.925728155339806,0.0615157480314961,0.0895973704967143,0.0114742316447007,0.234404347267701,0,1,0
"Amphiprion_melanopus","specialist","Tropical_Northwestern_Pacific",2,0.4,"specialist",0.00197677291821102,0.998023227081789,0.158892128279883,0.0303713494026045,0.00326538460127818,0.184335460186686,0.033112582781457,0.966887417218543,-0.106060606060606
"Amphiprion_perideraion","specialist","Tropical_Northwestern_Pacific",1,0.2,"specialist",0.322073114298936,0.677926885701064,0.0223556890223557,0.00752021441037034,0.000496214575632742,0.260318687169623,0.283870967741935,0.716129032258065,0.159090909090909
"Amphiprion_clarkii","generalist","West_and_South_Indian_Shelf",6,1,"generalist",0.0300779126653379,0.969922087334662,0.0592267135325132,0.0943106429955745,0.0188139383682819,0.0921955621014345,0.154498351389543,0.845501648610457,0.141969407265774
"Amphiprion_sebae","generalist","West_and_South_Indian_Shelf",3,0.5,"generalist",0.0325762789630649,0.967423721036935,0.229771689497717,0.450602607913085,0.0405398455450763,0.199487167218854,0.0136557610241821,0.986344238975818,-0.100290697674419
"Amphiprion_akallopisos","specialist","West_and_South_Indian_Shelf",2,0.333333333333333,"specialist",0.000310752019888129,0.999689247980112,0.360564500099384,0.113184493624092,0.0263798449499688,0.0994424297184742,0.0109272556977833,0.989072744302217,0.158804643121758
"Amphiprion_nigripes","specialist","West_and_South_Indian_Shelf",1,0.166666666666667,"specialist",0,1,0.782414307004471,0.129101913361747,0.00977354141079308,0.152510792047152,0.0283185840707965,0.971681415929204,0.844519966015293
"Amphiprion_perideraion","specialist","South_China_Sea",1,0.2,"specialist",0.0555073720728534,0.944492627927147,0.0784203102961918,0.123293780500491,0.0724428340993461,0.196567711609763,0.511920656112912,0.488079343887088,0.272804774083546
"Amphiprion_ocellaris","specialist","South_China_Sea",2,0.4,"specialist",0.0198283515833087,0.980171648416691,0.0948346542771249,0.170365297290489,0.0418470769826523,0.176562047002326,0.0269821502698215,0.973017849730178,0.0912967629385539
"Amphiprion_clarkii","generalist","South_China_Sea",5,1,"generalist",0.0302877334679455,0.969712266532055,0.0178936605316974,0.0875982485179196,0.0556396411001035,0.135195455364376,0.247998637370124,0.752001362629876,0.149161688186549
"Amphiprion_polymnus","generalist","South_China_Sea",2,0.4,"specialist",0,1,0.298439181916039,0.159914566627209,0.0105501737293252,0.152133765005496,0.196650459211237,0.803349540788763,0.477801268498943
"Amphiprion_frenatus","specialist","South_China_Sea",1,0.2,"specialist",0.00113186191284663,0.998868138087153,0.0920781893004116,0.29570663948128,0.153221222485632,0.291182699340925,0.00163250498820969,0.99836749501179,-3.57522859517872
