"region","x","y","amph.richness","anem.richness","nG","nS","Region.interactions","Local.interactions","GG","GS","SS","HGG","HGS","HSS","ENGG","ENGS","ENSS","ROGG","ROGS","ROSS","DTotal","HTotal","Ptotal","ENTotal","ROTotal"
"Andaman",97.519,7.614,7.827,4.976,0,0,36,30.097,0.887,11.909,17.301,0.866,5.052,3.024,0.755,0.637,0.601,0.377,0.251,0.356,30.097,8.942,0.265,0.194,0.093
"Bay_of_Bengal",90.781,18.099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Central_Indian_Ocean_Islands",72.666,0.369,4.018,5.224,3,2,10,7.348,2.195,4.457,0.695,2.085,2.919,0.691,0.501,0.419,0.096,0.404,0.265,0.273,7.348,5.695,0.679,0.347,0.264
"Central_Polynesia",189.856,-10.042,1.412,2.176,0,2,1,0.618,0,0,0.618,0,0,0.441,0,0,0.354,0,0,0.235,0.618,0.441,0.441,0.354,0.235
"East_Central_Australian_Shelf",152.972,-28.078,3.953,5.252,2,3,10,6.935,0.865,4.253,1.816,0.865,3.509,0.592,0.443,0.498,0.497,0.562,0.362,0.306,6.935,4.967,0.678,0.409,0.334
"Eastern_Coral_Triangle",151.923,-7.873,8.531,7.497,3,4,36,32.966,5.388,18.288,9.29,4.518,10.956,3.729,0.703,0.744,0.728,0.383,0.333,0.336,32.966,19.203,0.577,0.43,0.203
"Hawaii",195.646,23.428,0,0.949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Java_Transitional",106.79,-6.225,7.037,4.952,1,5,36,26.725,0.753,10.426,15.546,0.753,5.982,5.063,0.614,0.579,0.539,0.489,0.203,0.282,26.725,11.798,0.355,0.254,0.115
"Lord_Howe_and_Norfolk_Islands",166.4,-29.328,0.304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Marquesas",219.885,-8.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Marshall__Gilbert_and_Ellis_Islands",171.433,3.166,3.361,3.104,2,2,6,4.77,0.792,3.197,0.781,0.787,2.251,0.76,0.382,0.618,0.673,0.563,0.34,0.273,4.77,3.798,0.637,0.472,0.302
"Northeast_Australian_Shelf",147.72,-17.744,7.483,7.639,4,4,28,25.031,5.067,14.324,5.641,5.067,8.501,1.828,0.652,0.757,0.775,0.51,0.273,0.317,25.031,15.396,0.61,0.454,0.22
"Northwest_Australian_Shelf",120.031,-17.797,5.545,8.037,1,2,15,12.872,0,4.547,8.325,0,2.999,1.975,0,0.763,0.678,0,0.203,0.337,12.872,4.973,0.403,0.297,0.105
"Red_Sea_and_Gulf_of_Aden",39.693,19.525,0.792,6.272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sahul_Shelf",135.242,-11.292,7.452,5.915,2,3,28,24.765,0.893,10.671,13.201,0.893,5.67,1.939,0.485,0.668,0.69,0.481,0.23,0.744,24.765,8.501,0.346,0.233,0.134
"Somali_Arabian",53.233,24.186,1.983,1.159,1,0,6,2.09,0.91,1.181,0,0.904,0.065,0,0.279,0.015,0,0.425,0.006,0,2.09,0.969,0.193,0.124,0.185
"South_China_Sea",112.067,20.171,3.334,2.537,0,0,10,5.203,0,2.353,2.85,0,1.803,0.434,0,0.54,0.298,0,0.27,0.22,5.203,2.238,0.307,0.221,0.118
"South_Kuroshio",126.036,25.444,3.622,4.18,1,3,15,6.791,0.174,3.169,3.448,0.174,1.773,0.797,0.115,0.463,0.314,0.059,0.147,0.146,6.791,2.744,0.272,0.187,0.068
"Southeast_Polynesia",215.092,-17.023,1.758,2.597,1,1,1,0.871,0,0.871,0,0,0.855,0,0,0.775,0,0,0.287,0,0.871,0.855,0.855,0.775,0.287
"Sunda_Shelf",106.57,2.799,8.94,8.572,3,6,36,35.676,2.967,17.834,14.876,2.962,7.341,4.255,0.82,0.743,0.66,0.482,0.206,0.353,35.676,14.557,0.407,0.3,0.125
"Tropical_Northwestern_Pacific",147.556,8.263,4.914,3.086,0,0,15,11.42,0.827,6.21,4.383,0.827,4.123,0.84,0.663,0.682,0.569,0.526,0.31,0.351,11.42,5.79,0.431,0.354,0.188
"Tropical_Southwestern_Pacific",168.335,-18.931,6.63,6.038,1,4,28,19.319,2.402,10.824,6.092,2.402,7.49,2.202,0.496,0.65,0.738,0.722,0.33,0.339,19.319,12.094,0.631,0.408,0.26
"Warm_Temperate_Northwest_Pacific",126.255,29.428,1.151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"West_Central_Australian_Shelf",113.92,-28.043,0.799,1.512,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"West_and_South_Indian_Shelf",72.702,17.018,2.583,3.633,0,0,6,2.574,0.773,1.715,0.086,0.716,0.829,0.077,0.606,0.416,0.004,0.367,0.254,0.022,2.574,1.622,0.526,0.357,0.22
"Western_Coral_Triangle",122.062,2.25,10.767,8.337,4,7,55,53.003,5.657,26.865,20.481,5.578,13.458,6.321,0.761,0.749,0.75,0.435,0.245,0.476,53.003,25.357,0.473,0.358,0.163
"Western_Indian_Ocean",45.409,-15.641,3.361,6.32,3,1,10,4.737,2.359,2.378,0,2.359,2.378,0,0.303,0.556,0,0.536,0.372,0,4.737,4.737,0.95,0.506,0.486
